SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,f1,f2,g
0.31,0.095,0.82,157,88,153,173,167,257,150,4.02E-06,6.00E-06,0.191,0.272,-0.081
0.31,0.098,0.8,398,98,194,38,147,256,162,5.97E-06,3.00E-06,0.749,0.208,0.541
0.26,0.09,0.87,147,80,161,184,282,284,197,1.96E-05,1.30E-05,0.263,0.146,0.117
0.18,0.077,0.78,896,55,117,19,208,268,193,1.80E-05,1.50E-05,0.785,0.116,0.669
0.28,0.054,0.85,148,99,145,81,146,200,169,6.57E-06,9.00E-06,0.311,0.243,0.068
0.39,0.05,0.9,550,10,213,96,126,299,180,4.48E-06,1.60E-05,0.365,0.329,0.036
0.17,0.057,0.91,904,51,175,116,180,295,197,3.76E-06,8.00E-06,0.394,0.241,0.153
0.35,0.08,0.8,966,16,157,117,260,206,162,2.77E-05,1.70E-05,0.34,0.099,0.241
0.3,0.076,0.82,999,55,209,102,219,205,184,1.48E-05,1.90E-05,0.291,0.162,0.129
0.34,0.091,0.83,377,21,149,148,193,279,182,2.47E-05,1.80E-05,0.296,0.165,0.131
0.37,0.046,0.81,220,96,209,171,168,271,190,2.24E-06,4.00E-06,0.204,0.212,-0.008
0.35,0.099,0.89,533,86,225,127,115,297,193,1.19E-05,1.80E-05,0.291,0.278,0.013
0.15,0.015,0.86,978,18,200,160,299,278,159,2.32E-05,1.60E-05,0.316,0.097,0.219
0.26,0.039,0.99,104,25,196,82,256,231,193,2.90E-05,1.80E-05,0.42,0.134,0.286
0.13,0.084,0.86,814,97,181,154,200,241,176,7.12E-06,8.00E-06,0.29,0.199,0.091
0.24,0.063,0.91,332,56,126,175,143,237,192,1.18E-05,6.00E-06,0.202,0.234,-0.032
0.36,0.039,0.85,187,95,169,53,159,284,164,7.80E-06,1.30E-05,0.632,0.235,0.397
0.1,0.068,0.98,118,53,172,48,209,297,186,2.38E-05,1.70E-05,0.692,0.115,0.577
0.35,0.084,0.89,90,34,155,81,263,285,153,4.50E-06,1.00E-05,0.364,0.208,0.156
0.28,0.074,0.71,681,16,146,175,295,255,156,3.10E-06,1.00E-05,0.164,0.186,-0.022
0.28,0.052,0.94,912,79,181,76,200,279,187,1.96E-05,1.50E-05,0.526,0.182,0.344
0.11,0.056,1,622,43,222,19,297,228,198,5.85E-06,9.00E-06,0.833,0.092,0.741
0.3,0.1,0.91,767,24,173,12,225,243,163,9.68E-06,1.10E-05,0.777,0.139,0.638
0.26,0.059,0.99,950,7,150,57,198,207,163,3.92E-06,4.00E-06,0.643,0.136,0.507
0.26,0.03,0.86,254,76,136,78,184,252,169,2.81E-05,1.50E-05,0.439,0.148,0.291
0.11,0.042,1,179,79,157,75,176,257,163,6.65E-06,7.00E-06,0.554,0.213,0.341
0.22,0.033,0.79,279,96,199,107,236,292,178,8.40E-06,7.00E-06,0.398,0.188,0.21
0.18,0.091,0.92,801,44,162,104,184,212,157,3.17E-05,1.90E-05,0.369,0.134,0.235
0.27,0.012,0.75,633,90,120,36,209,299,171,4.95E-06,9.00E-06,0.742,0.194,0.548
0.26,0.079,0.85,41,57,190,43,138,298,170,2.06E-05,1.50E-05,0.652,0.171,0.481
0.3,0.096,0.95,302,52,223,76,175,230,192,3.66E-06,6.00E-06,0.485,0.219,0.266
0.12,0.099,0.91,131,78,224,44,145,214,167,1.74E-06,6.00E-06,0.676,0.245,0.431
0.28,0.089,0.81,817,55,200,147,193,294,177,2.14E-05,1.70E-05,0.336,0.18,0.156
0.25,0.012,0.85,255,69,144,61,269,279,178,3.71E-06,7.00E-06,0.587,0.193,0.394
0.21,0.012,0.87,747,49,136,198,185,215,198,1.08E-05,1.80E-05,0.168,0.22,-0.052
0.31,0.011,0.81,941,93,151,81,179,285,184,1.84E-05,1.90E-05,0.412,0.138,0.274
0.22,0.056,0.88,435,56,138,62,165,280,195,3.04E-05,1.80E-05,0.627,0.19,0.437
0.2,0.037,0.8,503,57,125,33,286,269,199,7.00E-06,2.00E-05,0.749,0.149,0.6
0.21,0.013,0.76,411,30,196,146,104,204,183,1.92E-05,1.60E-05,0.246,0.207,0.039
0.39,0.096,0.89,451,59,188,142,297,215,158,1.08E-05,1.40E-05,0.234,0.144,0.09
0.34,0.078,0.89,647,10,158,157,117,232,180,1.00E-05,7.00E-06,0.208,0.254,-0.046
0.17,0.04,0.9,255,64,116,88,109,228,180,1.18E-05,7.00E-06,0.413,0.256,0.157
0.2,0.048,0.75,459,60,173,111,191,241,171,1.20E-05,1.20E-05,0.345,0.218,0.127
0.12,0.081,0.73,731,62,184,12,196,272,184,8.40E-06,5.00E-06,0.83,0.141,0.689
0.17,0.019,0.9,898,85,143,94,177,201,164,4.83E-06,7.00E-06,0.293,0.213,0.08
0.12,0.017,0.74,625,96,192,156,178,280,167,1.11E-05,1.50E-05,0.262,0.221,0.041
0.31,0.088,0.74,887,72,223,195,283,252,160,5.90E-06,5.00E-06,0.158,0.183,-0.025
0.3,0.057,0.72,820,47,180,28,124,255,176,1.56E-05,8.00E-06,0.742,0.209,0.533
0.32,0.092,0.92,341,3,218,128,254,207,160,9.20E-06,8.00E-06,0.244,0.053,0.191
0.29,0.095,0.94,260,81,135,11,168,289,195,1.17E-05,9.00E-06,0.833,0.155,0.678
0.33,0.05,0.89,556,97,207,97,249,235,196,4.23E-06,9.00E-06,0.36,0.196,0.164
0.39,0.022,0.88,238,11,185,161,238,274,152,3.22E-05,1.80E-05,0.233,0.142,0.091
0.38,0.02,0.95,993,97,156,79,232,217,158,6.60E-06,4.00E-06,0.348,0.153,0.195
0.14,0.089,0.97,378,51,120,199,173,210,188,5.85E-06,3.00E-06,0.178,0.159,0.019
0.24,0.032,0.95,108,6,214,77,269,220,193,2.92E-05,1.70E-05,0.464,0.041,0.423
0.3,0.064,0.95,988,96,183,181,266,255,152,2.35E-05,1.20E-05,0.229,0.144,0.085
0.24,0.021,0.92,709,27,207,156,176,296,164,6.84E-06,4.00E-06,0.267,0.17,0.097
0.24,0.035,0.99,684,31,139,180,213,230,182,3.60E-06,3.00E-06,0.243,0.181,0.062
0.18,0.05,0.78,698,21,124,47,221,246,182,4.30E-06,5.00E-06,0.75,0.194,0.556
