SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD,f1,f2,g
0.33,0.029,0.94,172,79,118,94,154,337,167,5.26E-06,2.00E-06,13,0.464,0.342,0.122
0.3,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.46,0.21,0.25
0.36,0.081,0.88,169,93,188,83,103,347,159,7.05E-06,5.00E-06,26,0.46,0.299,0.161
0.1,0.078,1,250,2.31,225,50,140,300,150,5.00E-06,5.00E-06,10,0.458,0.234,0.224
0.1,0.078,1,250,100,115,50,140,300,150,5.00E-06,5.00E-06,10,0.456,0.259,0.197
0.1,0.078,1,100,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.453,0.326,0.127
0.2,0.032,0.89,718,80,154,88,136,344,174,6.90E-06,1.00E-05,13,0.451,0.305,0.146
0.35,0.075,0.82,939,4,213,52,165,348,152,1.03E-05,5.00E-06,11,0.45,0.411,0.039
0.25,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.45,0.299,0.151
0.1,0.078,1,250,2.31,195,50,140,300,150,5.00E-06,5.00E-06,10,0.444,0.326,0.118
0.32,0.065,0.92,387,11,147,95,109,328,179,7.10E-06,5.00E-06,12,0.444,0.314,0.13
0.1,0.078,1,250,2.31,175,50,140,300,150,5.00E-06,5.00E-06,10,0.439,0.345,0.094
0.27,0.016,0.81,128,34,176,69,177,296,180,9.28E-06,8.00E-06,11,0.434,0.342,0.092
0.37,0.043,0.85,412,96,197,96,120,376,169,7.70E-06,7.00E-06,10,0.43,0.284,0.146
0.1,0.05,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.43,0.3,0.13
0.1,0.078,1,250,2.31,115,50,140,300,150,1.00E-05,5.00E-06,10,0.424,0.311,0.113
0.1,0.078,1,250,2.31,155,50,140,300,150,5.00E-06,5.00E-06,10,0.423,0.348,0.075
0.2,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.419,0.297,0.122
0.1,0.078,1,250,2.31,135,50,140,300,150,5.00E-06,5.00E-06,10,0.415,0.328,0.087
0.23,0.017,0.95,87,38,154,60,133,263,189,2.55E-06,1.00E-06,20,0.406,0.328,0.078
0.1,0.078,0.8,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.405,0.308,0.097
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.402,0.317,0.085
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.401,0.309,0.092
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.398,0.288,0.11
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.395,0.311,0.084
0.1,0.078,0.9,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.394,0.306,0.088
0.15,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.394,0.216,0.178
0.2,0.018,0.92,34,68,149,58,187,324,185,9.70E-06,5.00E-06,18,0.382,0.298,0.084
0.1,0.1,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.379,0.377,0.002
0.1,0.078,1,500,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.377,0.304,0.073
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.375,0.362,0.013
0.1,0.078,1,250,50,115,50,140,300,150,5.00E-06,5.00E-06,10,0.375,0.31,0.065
0.1,0.078,1,1000,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.37,0.33,0.04
0.21,0.059,0.88,595,83,169,94,141,330,178,9.84E-06,4.00E-06,28,0.366,0.369,-0.003
0.33,0.031,0.8,255,80,120,61,129,333,170,4.26E-06,6.00E-06,25,0.366,0.35,0.016
0.1,0.078,1,250,5,115,50,140,300,150,5.00E-06,5.00E-06,10,0.366,0.369,-0.003
0.33,0.027,0.84,728,22,164,71,160,311,181,7.90E-07,1.00E-06,13,0.363,0.31,0.053
0.36,0.076,0.83,607,93,189,87,178,320,191,1.06E-05,9.00E-06,12,0.361,0.349,0.012
0.1,0.078,1,250,23.1,115,50,140,300,150,5.00E-06,5.00E-06,10,0.359,0.281,0.078
0.2,0.085,0.91,456,75,149,87,139,341,176,8.45E-06,5.00E-06,21,0.359,0.233,0.126
0.1,0.078,1,250,2.31,115,50,100,300,150,5.00E-06,5.00E-06,10,0.359,0.352,0.007
0.28,0.035,0.86,178,88,183,79,111,293,196,3.64E-06,7.00E-06,24,0.359,0.323,0.036
0.35,0.054,0.8,954,5,220,81,189,397,170,1.06E-05,5.00E-06,29,0.356,0.323,0.033
0.29,0.036,0.83,508,33,125,93,119,286,157,6.20E-06,1.00E-05,18,0.356,0.302,0.054
0.19,0.028,0.81,684,22,169,55,171,334,174,3.46E-06,2.00E-06,30,0.352,0.192,0.16
0.36,0.085,0.94,538,89,179,72,176,374,150,8.19E-06,7.00E-06,26,0.35,0.292,0.058
0.15,0.046,0.89,958,57,117,89,122,369,164,3.86E-06,2.00E-06,14,0.35,0.272,0.078
