SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,FP,f1,f2,g
0.33,0.045,0.95,916,31,249,77,123,353,230,8.28E-06,9.00E-06,0.5,0.334,0.414,-0.08
0.3,0.075,0.89,154,67,164,106,248,372,220,3.00E-06,5.00E-06,1,0.361,0.413,-0.052
0.3,0.05,0.87,494,78,435,67,199,466,310,2.26E-06,2.00E-06,0.5,0.538,0.413,0.125
0.21,0.035,0.87,285,35,346,145,158,601,360,2.07E-06,1.00E-06,0.5,0.347,0.413,-0.066
0.34,0.046,0.86,690,74,411,81,168,411,362,1.67E-06,1.00E-06,0.5,0.373,0.413,-0.04
0.13,0.078,0.98,203,70,153,163,158,418,344,1.82E-06,1.00E-06,0.5,0.311,0.413,-0.102
0.3,0.038,0.81,753,64,294,187,228,397,356,5.90E-06,2.00E-06,1,0.321,0.413,-0.092
0.35,0.098,0.99,145,60,404,96,195,494,258,1.85E-06,1.00E-06,0,0.344,0.413,-0.069
0.34,0.033,0.96,479,58,333,147,233,358,284,1.62E-06,1.00E-06,0,0.332,0.413,-0.081
0.26,0.016,0.95,229,39,357,56,204,480,250,1.80E-06,3.00E-06,0,0.529,0.412,0.117
0.22,0.013,0.89,787,98,185,88,102,419,366,1.66E-05,9.00E-06,0.5,0.366,0.412,-0.046
0.31,0.039,0.82,861,38,189,191,160,406,328,6.40E-06,4.00E-06,0,0.313,0.412,-0.099
0.27,0.096,0.94,686,74,236,136,220,437,306,4.08E-06,8.00E-06,0.5,0.398,0.412,-0.014
0.36,0.03,0.94,214,47,162,84,180,406,292,1.00E-06,1.00E-06,1,0.346,0.411,-0.065
0.24,0.07,0.83,451,81,255,135,162,536,394,9.06E-06,6.00E-06,0,0.353,0.411,-0.058
0.32,0.021,0.98,626,37,328,94,120,573,226,1.44E-05,8.00E-06,0,0.362,0.411,-0.049
0.31,0.055,0.85,183,40,444,86,197,492,378,5.10E-06,2.00E-06,0.5,0.361,0.411,-0.05
0.36,0.064,0.94,384,49,259,100,246,531,386,1.08E-06,1.00E-06,0.5,0.346,0.411,-0.065
0.19,0.03,0.99,740,77,265,176,154,548,366,1.04E-05,4.00E-06,0,0.308,0.411,-0.103
0.12,0.1,0.95,88,90,151,77,213,585,234,8.28E-06,6.00E-06,0,0.381,0.411,-0.03
0.29,0.075,0.98,91,58,352,155,173,431,278,6.72E-06,8.00E-06,0,0.337,0.41,-0.073
0.32,0.034,0.87,851,95,276,75,226,528,246,9.63E-06,9.00E-06,0,0.422,0.41,0.012
0.38,0.035,0.86,366,46,365,52,220,412,352,3.14E-06,2.00E-06,0,0.532,0.41,0.122
0.28,0.042,0.83,999,40,414,132,155,389,260,4.23E-06,3.00E-06,0.5,0.325,0.409,-0.084
0.19,0.082,0.87,376,84,276,66,218,449,230,4.17E-06,3.00E-06,0.5,0.523,0.409,0.114
0.15,0.037,0.91,575,62,400,117,162,435,358,8.40E-07,1.00E-06,0,0.344,0.409,-0.065
0.37,0.055,0.87,78,26,161,100,118,468,298,2.12E-05,9.00E-06,0.5,0.329,0.409,-0.08
0.2,0.07,0.87,198,78,328,190,192,466,352,1.10E-05,9.00E-06,0,0.345,0.409,-0.064
0.17,0.017,0.92,536,47,420,94,213,375,222,3.24E-06,3.00E-06,0.5,0.339,0.408,-0.069
0.14,0.054,0.95,128,38,402,159,223,503,392,4.82E-06,2.00E-06,1,0.327,0.408,-0.081
0.1,0.078,0.89,995,77,274,118,123,453,306,1.99E-05,9.00E-06,0.5,0.358,0.408,-0.05
0.21,0.073,0.99,361,62,176,92,151,524,354,1.80E-05,7.00E-06,0.5,0.359,0.408,-0.049
0.21,0.055,0.96,521,64,256,191,198,595,228,8.84E-06,4.00E-06,0.5,0.32,0.408,-0.088
0.13,0.044,0.85,180,82,347,184,201,455,296,7.86E-06,6.00E-06,0,0.306,0.408,-0.102
0.25,0.099,0.89,576,53,157,150,248,357,340,6.75E-06,5.00E-06,0.5,0.302,0.408,-0.106
0.19,0.063,0.86,809,62,208,159,190,504,356,2.70E-06,3.00E-06,0.5,0.31,0.408,-0.098
0.16,0.028,0.94,369,46,313,74,139,401,244,1.74E-05,8.00E-06,0,0.353,0.407,-0.054
0.15,0.071,0.85,913,16,294,154,140,375,356,7.00E-06,4.00E-06,1,0.245,0.407,-0.162
0.23,0.042,0.94,980,70,362,107,236,529,246,1.03E-05,8.00E-06,0.5,0.42,0.407,0.013
0.34,0.079,0.93,728,86,449,167,122,422,342,1.26E-05,8.00E-06,0.5,0.322,0.407,-0.085
0.28,0.012,0.9,150,46,181,146,155,603,236,8.68E-06,4.00E-06,1,0.34,0.407,-0.067
0.15,0.045,0.86,181,24,217,196,120,462,376,1.37E-05,1.00E-05,0.5,0.315,0.406,-0.091
0.21,0.013,0.99,165,22,213,97,202,672,348,6.66E-06,3.00E-06,0.5,0.418,0.406,0.012
0.16,0.074,0.83,89,99,259,67,233,603,334,9.25E-06,5.00E-06,0.5,0.536,0.406,0.13
0.19,0.057,0.93,120,96,224,193,222,378,304,1.15E-05,1.00E-05,0.5,0.364,0.406,-0.042
0.31,0.03,0.93,371,44,283,59,194,393,384,1.38E-06,2.00E-06,0.5,0.518,0.406,0.112
0.27,0.037,0.89,843,81,393,186,174,398,378,9.00E-06,5.00E-06,0.5,0.306,0.406,-0.1
0.37,0.035,0.91,563,61,179,69,143,405,344,1.28E-05,6.00E-06,0.5,0.471,0.406,0.065
0.33,0.027,0.84,665,33,156,152,141,558,366,2.30E-05,8.00E-06,0,0.34,0.406,-0.066
0.31,0.013,0.85,349,56,318,84,166,529,230,7.90E-06,1.00E-05,0,0.383,0.405,-0.022
0.32,0.034,0.84,89,64,424,111,170,357,362,9.44E-06,4.00E-06,0.5,0.34,0.405,-0.065
0.29,0.075,0.91,84,41,292,123,141,562,210,1.54E-05,8.00E-06,0.5,0.361,0.405,-0.044
0.14,0.019,0.94,297,38,434,55,154,383,352,5.13E-06,9.00E-06,1,0.512,0.405,0.107
0.15,0.071,0.8,781,84,333,145,197,353,296,5.20E-06,5.00E-06,1,0.318,0.405,-0.087
0.35,0.094,1,497,68,250,163,177,516,358,1.13E-05,5.00E-06,0,0.299,0.404,-0.105
0.26,0.022,0.97,460,72,247,64,155,507,346,8.60E-06,5.00E-06,1,0.527,0.404,0.123
0.13,0.056,0.84,206,80,203,87,202,519,204,1.18E-05,4.00E-06,1,0.356,0.403,-0.047
0.31,0.084,0.88,631,34,324,194,167,683,244,1.16E-05,9.00E-06,1,0.416,0.403,0.013
0.25,0.096,0.91,232,36,384,94,245,527,236,7.80E-06,4.00E-06,0,0.38,0.403,-0.023
0.16,0.087,0.89,645,22,161,110,176,660,350,7.47E-06,9.00E-06,0.5,0.448,0.403,0.045
0.36,0.075,0.97,272,42,323,122,187,447,236,1.22E-05,9.00E-06,0,0.4,0.403,-0.003
0.2,0.057,0.92,501,16,182,193,120,447,392,1.39E-05,9.00E-06,0.5,0.312,0.402,-0.09
0.31,0.091,0.97,560,39,243,90,158,392,204,7.20E-06,9.00E-06,0.5,0.363,0.402,-0.039
0.26,0.019,0.93,269,49,399,109,191,436,292,1.06E-05,9.00E-06,0,0.381,0.401,-0.02
0.24,0.097,0.99,170,17,336,195,175,676,204,1.28E-05,7.00E-06,0,0.386,0.401,-0.015
0.35,0.029,0.89,158,66,199,161,158,589,254,2.11E-05,9.00E-06,0,0.349,0.401,-0.052
0.23,0.046,0.88,504,60,246,175,159,355,392,6.93E-06,9.00E-06,0.5,0.335,0.401,-0.066
